Keyword,Cluster,Intent,Demand,Competition,Opportunity,Commercial value,Geography,Audience,Funnel stage,Competitor ownership,SEO target,GEO/AEO target,Recommended page,Schema type,Brand-voice check,Priority
P.S. Coffee,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
PS Coffee,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
P.S. Coffee Ahmedabad,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
pscoffee.in,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. Coffee menu,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
P.S. Coffee Pods,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
P.S. Coffee pass,Consumer,Navigational,Low,Low,Medium,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P2
P.S. Coffee app,Consumer,Navigational,Low,Low,Medium,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P2
P.S. Coffee partnership,Consumer,Navigational,Low,Low,High,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. Coffee careers,Consumer,Navigational,Low,Low,Low,Low,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P3
P.S. Coffee franchise,Consumer,Navigational,Low,Low,Medium,High,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P2
what does P.S. stand for coffee,Consumer,Informational,Low,Low,High,Low,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
The Letter The P.S. menu,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
P.S. Black coffee,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. White coffee,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. Green matcha,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. Strong protein coffee,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
